ID,LON,LAT,QUALITY,DATE,COUNTRY
"150187",105.459706,9.67264,"Centroid Admin3","2006","Viet Nam"
"150182",105.009443,9.25162,"Centroid Admin3","2006","Viet Nam"
"150181",105.134901,9.148062,"Centroid Admin3","2006","Viet Nam"
"150180",105.132154,9.192007,"Centroid Admin3","2006","Viet Nam"
"150178",104.962928,9.408364,"Centroid Admin3","2006","Viet Nam"
"150177",105.449171,9.621871,"Centroid Admin3","2006","Viet Nam"
"150176",104.869989,9.241733,"Centroid Admin3","2006","Viet Nam"
"150173",105.048772,9.124573,"Centroid Admin3","2006","Viet Nam"
"150172",104.790788,8.611649,"Centroid Admin3","2006","Viet Nam"
"150169",105.519565,9.498305,"Centroid Admin3","2006","Viet Nam"
"146694",105.604325,10.059559,"Centroid Admin3","2006","Viet Nam"
"146664",105.531149,9.752725,"Centroid Admin3","2006","Viet Nam"
"146654",105.529521,9.557177,"Centroid Admin3","2006","Viet Nam"
"146653",105.529521,9.557177,"Centroid Admin3","2006","Viet Nam"
"146652",105.529521,9.557177,"Centroid Admin3","2006","Viet Nam"
"146651",105.529521,9.557177,"Centroid Admin3","2006","Viet Nam"
"146645",105.47778,9.536949,"Centroid Admin3","2006","Viet Nam"
"146644",105.47778,9.536949,"Centroid Admin3","2006","Viet Nam"
"146641",105.519565,9.498305,"Centroid Admin3","2006","Viet Nam"
"146640",105.519565,9.498305,"Centroid Admin3","2006","Viet Nam"
"146628",105.511624,9.4319,"Centroid Admin3","2006","Viet Nam"
"146624",105.54112,9.398671,"Centroid Admin3","2006","Viet Nam"
"146623",105.54112,9.398671,"Centroid Admin3","2006","Viet Nam"
"146622",105.582032,9.396321,"Centroid Admin3","2006","Viet Nam"
"146621",105.582032,9.396321,"Centroid Admin3","2006","Viet Nam"
"146620",105.582032,9.396321,"Centroid Admin3","2006","Viet Nam"
"146603",105.493274,9.360466,"Centroid Admin3","2006","Viet Nam"
"146602",105.493274,9.360466,"Centroid Admin3","2006","Viet Nam"
"146601",105.493274,9.360466,"Centroid Admin3","2006","Viet Nam"
"146600",105.493274,9.360466,"Centroid Admin3","2006","Viet Nam"
"146599",105.493274,9.360466,"Centroid Admin3","2006","Viet Nam"
"146598",105.493274,9.360466,"Centroid Admin3","2006","Viet Nam"
"146597",105.084928,9.355056,"Centroid Admin3","2006","Viet Nam"
"146596",105.084928,9.355056,"Centroid Admin3","2006","Viet Nam"
"146594",105.12253,9.336775,"Centroid Admin3","2006","Viet Nam"
"146592",105.609263,9.33416,"Centroid Admin3","2006","Viet Nam"
"146590",104.895181,9.332238,"Centroid Admin3","2006","Viet Nam"
"146586",105.547413,9.33028,"Centroid Admin3","2006","Viet Nam"
"146585",105.547413,9.33028,"Centroid Admin3","2006","Viet Nam"
"146584",105.547413,9.33028,"Centroid Admin3","2006","Viet Nam"
"146564",105.2063,9.2746,"Centroid Admin3","2006","Viet Nam"
"146558",105.185187,9.231236,"Centroid Admin3","2006","Viet Nam"
"146557",105.262521,9.210763,"Centroid Admin3","2006","Viet Nam"
"146556",105.262521,9.210763,"Centroid Admin3","2006","Viet Nam"
"146554",104.94684,9.185238,"Centroid Admin3","2006","Viet Nam"
"146552",105.052764,9.161624,"Centroid Admin3","2006","Viet Nam"
"146548",104.999402,9.147541,"Centroid Admin3","2006","Viet Nam"
"146547",105.093052,9.117667,"Centroid Admin3","2006","Viet Nam"
"146545",104.890706,9.11198,"Centroid Admin3","2006","Viet Nam"
"146544",104.890706,9.11198,"Centroid Admin3","2006","Viet Nam"
"146543",104.890706,9.11198,"Centroid Admin3","2006","Viet Nam"
"146542",105.129704,9.105101,"Centroid Admin3","2006","Viet Nam"
"146540",104.839648,9.104654,"Centroid Admin3","2006","Viet Nam"
"146539",104.839648,9.104654,"Centroid Admin3","2006","Viet Nam"
"146536",104.829897,9.046632,"Centroid Admin3","2006","Viet Nam"
"146535",104.866398,9.017418,"Centroid Admin3","2006","Viet Nam"
"146534",105.197748,8.996447,"Centroid Admin3","2006","Viet Nam"
"146532",105.078421,8.976962,"Centroid Admin3","2006","Viet Nam"
"146531",104.945288,8.955616,"Centroid Admin3","2006","Viet Nam"
"114618",104.89528374,22.26825087,"Centroid Locality","2006","Viet Nam"
"114402",104.9172956101,22.7076715272,"Centroid Admin1","2006","Viet Nam"
"114152",100.05,13.81667,"Centroid Admin3","2006","Thailand"
"114146",100.41667,16.25,"Centroid Admin3","2006","Thailand"
"113361",102.25,17.16667,"Centroid Admin3","2006","Thailand"
"112747",104.95,11.98306,"Unknown","2006","Cambodia"
"112738",106.52583,9.93972,"Unknown","2006","Viet Nam"
"112568",106.52583,9.93972,"Unknown","2006","Viet Nam"
"112430",105.4,10.98,"Unknown","2006","Cambodia"
"111913",104.41667,17.33306,"Centroid Admin3","2006","Thailand"
"111796",100.38306,16.03306,"Centroid Admin3","2006","Thailand"
"111792",102.59972,17.96667,"Unknown","2006","Lao People's Democratic Republic"
"108818",104.61667,10.84972,"Unknown","2006","Cambodia"
"108814",104.58306,11.25,"Unknown","2006","Cambodia"
"105148",105.5,12,"Unknown","2006","Cambodia"
